university,fraternity,location,mailing_address,chapter_address,letter index,skip,mailed,suspended recentlyish,contact name,email,phone,status
USC,Chi Phi,downtown Los Angeles,"Name	Zeta Beta Of Alpha Tau Omega And Building Corporation
C/O Gregory Castle
Address	10960 Wilshire Blvd #1510
Los Angeles, CA 90024","707 W 28th St, Los Angeles, CA 90007",0,1,0,,andrew newsom,acnewsom@usc.edu,,mtsn
USC,Phi Kappa Tau,downtown Los Angeles,"Name	Fraternity Housing Corporation
C/O Larry S Wiese
Address	PO Box 1865
Lexington, VA 24450","2715 Portland St, Los Angeles, CA 90007",0,0,1,,NA,uscpkt@gmail.com,,mtsn
SJSU,Alpha Epsilon Pi,downtown San Jose,"Name        Chris & aglaia Constantin Trustee
Address        1833 Blossom Hill Rd
San Jose, CA 95124","182 S 10th St, San Jose, CA 95112",2,0,0,,,,,
SJSU,Alpha Sigma Phi,downtown San Jose,,no chapter house fall 2019,0,0,0,,,,,
SJSU,Alpha Tau Omega,downtown San Jose,"Name        SJSU ATO Real Estate
C/O Kevin Wilkinson
Address        569 Dartmouth Ave
San Carlos, CA 94070","202 S 11th St, San Jose, CA 95112",0,0,1,,,,,
SJSU,Beta Theta Pi,downtown San Jose,"Beresford W McLean
147 Race St
San Jose, CA 95126","365 E San Fernando St, San Jose, CA 95112",2,0,1,,,,,
SJSU,Delta Sigma Phi,downtown San Jose,"Name        Current Capital LP
Address        160 W Santa Clara St #900
San Jose, CA 9511","189 S 11th St, San Jose, CA 95112",1,0,1,,,,,
SJSU,Delta Upsilon,downtown San Jose,"Name	San Jose Delta Upsilon Corp
C/O Jeff Pesta - Treasurer
Address	6920 Santa Teresa Blvd #103
San Jose, CA 95119","201 S 11th St, San Jose, CA 95112",0,0,1,,,,,
SJSU,Kappa Sigma,downtown San Jose,"Name        Theta Iota Chapter Of Kappa Sigma Inc
Address        PO Box 12
Los Gatos, CA 95031","168 S 11th St, San Jose, CA 95112",0,0,1,,,,,
SJSU,Pi Kappa Alpha,downtown San Jose,"Name        Current Capital LP
Address        160 W Santa Clara St #900
San Jose, CA 9511","225 S 11th St, San Jose, CA 95112",0,1,0,1,jared@currentmangement.associates,https://www.currentmanagement.associates/contact,,
SJSU,Pi Kappa Phi,downtown San Jose,,no chapter house fall 2019,0,,0,,,,,
SJSU,Sigma Alpha Epsilon,Sigma Alpha Epsilon,"Name        Lois K Robinson Trustee
Address        18707 Graystone Ln
San Jose, CA 95120","282 S 10th St, San Jose, CA 95112",2,0,1,,,,,
SJSU,Sigma Chi,downtown San Jose,"Name       Thomas Cowan Bell Scholastic Foundation 
Address        PO Box 5476
San Jose, CA 95150","284 S 10th St, San Jose, CA 95112",0,0,1,,,,,
SJSU,Sigma Nu,downtown San Jose,"Name        Zeta Iota Chapter Of Sigma Nu Fraternity
C/O Stephen V Gaffaney
Address        2155 Dry Creek Rd
San Jose, CA 95124","155 s 11th st, san jose ca 95112",0,0,1,,,,,
SJSU,Theta Chi,downtown San Jose,,,0,1,0,,"Micah Harrel, Tim",,"480-640-0774, 925-9279668",visiting October 8th 2019
UC Berkeley,Alpha Delta Phi,Berkeley,"Name	Alpha Delta Phi Building Co
C/O Piedmont Systems
Address	3871 Piedmont Ave
Oakland, CA 94611","2422 Prospect St, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Alpha Epsilon Pi,Berkeley,"Name	Chiber Housing Corporation
C/O Andrew S Borans
Address	8815 Wesleyan Rd
Indianapolis, IN 46268","2430 Piedmont Ave, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Alpha Gamma Omega,Berkeley,"Name	Alpha Gamma Omega Assn
C/O David Nielsen
Address	301 Shady Valley Ct
San Ramon, CA 94582","2713 Haste St, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Alpha Kappa Lambda,Berkeley,"Name        Stanislav P Momtchev &  Elena K Kaloyanov
Address        2630 Cedar St
Berkeley, CA 94708","2710 Durant Ave, Berkeley, CA 94704",2,0,1,,,,,
UC Berkeley,Alpha Sigma Phi,Berkeley,"Name	California Alpha Sigma Phi Inc
C/O Robert Riegg
Address	2498 Piedmont Ave
Berkeley, CA 94704","2498 Piedmont Ave, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Alpha Tau Omega,Berkeley,"Name        Alpha Tau Omega House Association
C/O Edward Hulsy
Address        268 Bush St 3143
San Francisco, CA 9410","2327 Warring St, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Chi Phi,Berkeley,"Name        Lambda Chapter Chi Phi
C/O B Finley
Address        662 Calmar Ave
Oakland, CA 94610","2722 Durant Ave, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Chi Psi,Berkeley,"Name        Berkeley Holdings LLC
Address        45 Rutledge St
Nashville, TN 37210","2311 Piedmont Ave, Berkeley, CA 94704",1,0,1,,,,,
UC Berkeley,Delta Chi,Berkeley,"Name	Abracadabra House Association
C/O Stephen D Copper
Address	PO Box 620531
Littleton, CO 80162","2721 Channing Way, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Delta Kappa Epsilon,Berkeley,NA,"Piedmont Ave, Berkeley, CA 94704",0,0,0,,,,,
UC Berkeley,Delta Sigma Phi,Berkeley,"Name	Pi Alpha Phi Alum Assn
C/O Cliff Lin
Address	256 Calle La Mesa
Moraga, CA 94556","2534 Warring St, Berkeley, CA 94704",0,0,1,,,,,
